fa_flight_id,groundspeed,heading,longitude,latitude,timestamp,altitude
AIQ3029-1670715240-schedule-0553,185.25,224.4375,100.575941875,13.86635375,2022-12-12 23:43:44+00:00,1968.75
AIQ3029-1670715240-schedule-0553,185.5,225.625,100.57539125,13.8656325,2022-12-12 23:43:45+00:00,2012.5
AIQ3029-1670715240-schedule-0553,185.75,226.8125,100.574840625,13.86491125,2022-12-12 23:43:46+00:00,2056.25
AIQ3029-1670715240-schedule-0553,186.0,228.0,100.57429,13.86419,2022-12-12 23:43:47+00:00,2100.0
AIQ3029-1670715240-schedule-0553,186.3125,230.6875,100.57345875,13.8639425,2022-12-12 23:43:48+00:00,2131.25
AIQ3029-1670715240-schedule-0553,186.625,233.375,100.5726275,13.863695,2022-12-12 23:43:49+00:00,2162.5
AIQ3029-1670715240-schedule-0553,186.9375,236.0625,100.57179625,13.8634475,2022-12-12 23:43:50+00:00,2193.75
AIQ3029-1670715240-schedule-0553,187.25,238.75,100.570965,13.8632,2022-12-12 23:43:51+00:00,2225.0
AIQ3029-1670715240-schedule-0553,187.5625,241.4375,100.57013375,13.8629525,2022-12-12 23:43:52+00:00,2256.25
AIQ3029-1670715240-schedule-0553,187.875,244.125,100.5693025,13.862705,2022-12-12 23:43:53+00:00,2287.5
AIQ3029-1670715240-schedule-0553,188.1875,246.8125,100.56847125,13.8624575,2022-12-12 23:43:54+00:00,2318.75
AIQ3029-1670715240-schedule-0553,188.5,249.5,100.56764,13.86221,2022-12-12 23:43:55+00:00,2350.0
AIQ3029-1670715240-schedule-0553,188.8125,252.1875,100.56680875,13.8619625,2022-12-12 23:43:56+00:00,2381.25
AIQ3029-1670715240-schedule-0553,189.125,254.875,100.5659775,13.861715,2022-12-12 23:43:57+00:00,2412.5
AIQ3029-1670715240-schedule-0553,189.4375,257.5625,100.56514625,13.8614675,2022-12-12 23:43:58+00:00,2443.75
AIQ3029-1670715240-schedule-0553,189.75,260.25,100.564315,13.86122,2022-12-12 23:43:59+00:00,2475.0
AIQ3029-1670715240-schedule-0553,190.0625,262.9375,100.56348375,13.8609725,2022-12-12 23:44:00+00:00,2506.25
AIQ3029-1670715240-schedule-0553,190.375,265.625,100.5626525,13.860725,2022-12-12 23:44:01+00:00,2537.5
AIQ3029-1670715240-schedule-0553,190.6875,268.3125,100.56182125,13.8604775,2022-12-12 23:44:02+00:00,2568.75
AIQ3029-1670715240-schedule-0553,191.0,271.0,100.56099,13.86023,2022-12-12 23:44:03+00:00,2600.0
AIQ3029-1670715240-schedule-0553,191.20689655172413,271.9655172413793,100.56021068965518,13.860572068965515,2022-12-12 23:44:04+00:00,2624.137931034483
AIQ3029-1670715240-schedule-0553,191.41379310344828,272.9310344827586,100.55943137931035,13.860914137931037,2022-12-12 23:44:05+00:00,2648.275862068965
AIQ3029-1670715240-schedule-0553,191.6206896551724,273.8965517241379,100.55865206896551,13.86125620689655,2022-12-12 23:44:06+00:00,2672.4137931034484
AIQ3029-1670715240-schedule-0553,191.8275862068965,274.86206896551727,100.55787275862068,13.861598275862068,2022-12-12 23:44:07+00:00,2696.551724137931
AIQ3029-1670715240-schedule-0553,192.0344827586207,275.82758620689657,100.55709344827586,13.861940344827586,2022-12-12 23:44:08+00:00,2720.689655172414
AIQ3029-1670715240-schedule-0553,192.24137931034485,276.7931034482759,100.55631413793104,13.862282413793103,2022-12-12 23:44:09+00:00,2744.8275862068963
AIQ3029-1670715240-schedule-0553,192.44827586206893,277.7586206896552,100.5555348275862,13.86262448275862,2022-12-12 23:44:10+00:00,2768.9655172413795
AIQ3029-1670715240-schedule-0553,192.6551724137931,278.7241379310345,100.5547555172414,13.862966551724138,2022-12-12 23:44:11+00:00,2793.103448275862
AIQ3029-1670715240-schedule-0553,192.86206896551724,279.6896551724138,100.55397620689656,13.863308620689654,2022-12-12 23:44:12+00:00,2817.2413793103447
AIQ3029-1670715240-schedule-0553,193.06896551724137,280.6551724137931,100.55319689655173,13.863650689655172,2022-12-12 23:44:13+00:00,2841.379310344828
AIQ3029-1670715240-schedule-0553,193.27586206896552,281.62068965517244,100.5524175862069,13.86399275862069,2022-12-12 23:44:14+00:00,2865.5172413793102
AIQ3029-1670715240-schedule-0553,193.48275862068965,282.58620689655174,100.55163827586208,13.864334827586209,2022-12-12 23:44:15+00:00,2889.655172413793
AIQ3029-1670715240-schedule-0553,193.68965517241375,283.55172413793105,100.55085896551724,13.864676896551725,2022-12-12 23:44:16+00:00,2913.7931034482763
AIQ3029-1670715240-schedule-0553,193.89655172413796,284.51724137931035,100.55007965517242,13.865018965517242,2022-12-12 23:44:17+00:00,2937.9310344827586
AIQ3029-1670715240-schedule-0553,194.1034482758621,285.48275862068965,100.5493003448276,13.865361034482758,2022-12-12 23:44:18+00:00,2962.0689655172414
AIQ3029-1670715240-schedule-0553,194.31034482758625,286.4482758620689,100.54852103448276,13.865703103448276,2022-12-12 23:44:19+00:00,2986.2068965517237
AIQ3029-1670715240-schedule-0553,194.51724137931035,287.41379310344826,100.54774172413794,13.866045172413791,2022-12-12 23:44:20+00:00,3010.344827586207
AIQ3029-1670715240-schedule-0553,194.72413793103448,288.3793103448276,100.54696241379312,13.86638724137931,2022-12-12 23:44:21+00:00,3034.4827586206898
