NPD_ID;Noise Metric;Op Mode;Power Setting;L_200ft;L_400ft;L_630ft;L_1000ft;L_2000ft;L_4000ft;L_6300ft;L_10000ft;L_16000ft;L_25000ft
2CF68D;LAmax;D;51530;108.4;102.1;97.8;93.5;86.7;78.9;72.8;66.3;58.7;49.2
2CF68D;LAmax;D;55500;111.4;105.1;100.8;96.5;88.7;82.4;76.3;70.3;62.7;54
2CF68D;PNLTM;A;10020;109.2;101.8;96;90.1;80.4;71;63.8;56.1;48;40.4
2CF68D;PNLTM;A;23190;118.5;110.8;105.2;99.8;88.4;77.2;69.4;61.1;52.4;44
2CF68D;PNLTM;D;25940;118.3;109;103.2;97.3;87.8;76.7;68.9;60.2;51.1;42.3
2CF68D;PNLTM;D;39180;119.8;111.5;106.2;100.6;91.5;81.7;74.4;66;57.1;48.3
2CF68D;PNLTM;D;51530;122.3;115;110.2;105.3;97;87.9;81.7;73.8;65.1;56.6
2CF68D;PNLTM;D;55500;124.8;117.5;113;108.3;100.1;91.7;85.4;78.5;70.1;61.8
2CF68D;SEL;A;10020;99.5;95.1;91.4;88.3;82.5;76.3;71.9;66.6;61.3;56.3
2CF68D;SEL;A;23190;105.1;100.6;97.1;93.7;87;80.1;75.1;69.5;64;58.4
2CF68D;SEL;D;25940;103.7;98.7;95.4;92.2;87;80.7;76;70.2;64;55.2
2CF68D;SEL;D;39180;106;101.7;98.7;96.2;91.2;85.2;80.2;75;68.7;60.2
2CF68D;SEL;D;51530;110.2;106.2;103.4;100.7;96.2;90.7;86.2;81.2;75.2;67.2
2CF68D;SEL;D;55500;113.2;109.2;106.4;103.7;98.2;94.2;89.7;85.2;79.2;72
2J155D;EPNL;A;500;91.4;86;81.8;77.1;69;59.9;54;47.4;40.7;34.3
2J155D;EPNL;A;1000;97.2;91.9;87.8;82.9;74.1;66.5;61.5;56;50.2;44.8
2J155D;EPNL;D;1500;107.4;102;97.8;92.5;82.3;71.7;64.4;58;52;46.3
2J155D;EPNL;D;2400;111.6;106.7;103.1;99.2;92.2;84.5;79.7;74.6;69.3;64.3
2J155D;EPNL;D;2800;114.1;109;105.1;100.7;94;85.3;80.2;75.3;70;65
2J155D;LAmax;A;500;87;79.3;74;68.2;59;49.2;42.4;35.2;27.6;20
2J155D;LAmax;A;1000;92.9;85.4;80.2;74.6;65.6;56;49.4;42.4;35;27.6
2J155D;LAmax;D;1500;98.3;90.9;85.7;80.1;71.2;61.7;55.1;48.1;40.7;33.4
2J155D;LAmax;D;2400;103.2;97.1;92.5;87.5;79.2;70;63.4;56.3;48.7;41.1
2J155D;LAmax;D;2800;107.7;101.4;96.9;91.8;83.5;74.2;67.7;60.6;53;45.4
2J155D;PNLTM;A;500;100.6;93;87.4;81.1;70.8;59.4;52;43.9;35.7;27.8
2J155D;PNLTM;A;1000;107;99.4;93.8;87.4;76.4;66.5;60;53;45.7;38.8
2J155D;PNLTM;D;1500;117.8;110.2;104.4;97.7;85.2;72.4;63.6;55.7;48.1;41
2J155D;PNLTM;D;2400;115.5;108.3;103.3;97.8;88.6;78.7;72.3;65.8;58.9;52.4
2J155D;PNLTM;D;2800;121.4;114;108.7;102.8;93.8;82.9;76.3;69.9;63;56.5
2J155D;SEL;A;500;87.3;81.9;78.1;73.8;66.9;59.3;54;48.3;42.3;36.2
2J155D;SEL;A;1000;93.3;88.1;84.4;80.3;73.6;66.3;61.1;55.6;49.7;43.8
2J155D;SEL;D;1500;99.5;94.3;90.6;86.5;79.9;72.6;67.5;62;56.1;50.3
2J155D;SEL;D;2400;106.2;102.4;99.3;95.8;89.8;82.8;77.8;72.2;66.1;59.9
2J155D;SEL;D;2800;109.9;106;102.9;99.4;93.3;86.4;81.3;75.7;69.6;63.4
2JT8D;EPNL;A;3000;107;102.4;98.7;94.4;87;78.6;73;66.4;59;49.4
2JT8D;EPNL;A;6000;110.3;105.8;102.1;97.9;91;83;77.3;71;63.3;54.1
2JT8D;EPNL;D;8000;112.9;108.4;104.7;100.9;94;86.2;80.6;74.7;67.6;59.3
2JT8D;EPNL;D;10000;115.7;111.5;108;104.3;98;90.8;85.9;80.3;73.8;66.1
2JT8D;EPNL;D;12000;119.3;115.2;112;108.6;102.8;96.1;91.8;86.5;80.5;73.5
2JT8D;EPNL;D;14000;123.9;119.9;117.1;113;108;101.7;97.3;92.9;87.5;81.1
2JT8D;LAmax;A;3000;102.6;94.6;88.6;82.3;73.8;64.5;58;51;42.8;34.4
2JT8D;LAmax;A;6000;105.4;97.9;91.5;85.8;77.2;68.5;61.9;55.1;47.1;38.5
2JT8D;LAmax;D;8000;108.6;100.7;95.6;89.9;81.8;73.2;66.5;59.9;52;43.8
2JT8D;LAmax;D;10000;111.6;104.3;99.5;94.6;86.3;77.7;71.8;64.9;57.2;48.9
2JT8D;LAmax;D;12000;115.9;108.9;104.3;99.4;91.1;82.8;76.8;70.1;62.8;54.6
2JT8D;LAmax;D;14000;120.8;113.4;109.4;104.5;96.4;88.2;82.3;75.8;68.6;60.9
2JT8D;PNLTM;A;3000;114.6;107.2;101.7;95.5;85.3;74.1;66.7;58.2;48.9;37.5
2JT8D;PNLTM;A;6000;117.9;110.6;105.1;99;89.3;78.5;71;62.8;53.2;42.2
2JT8D;PNLTM;D;8000;120.5;113.2;107.7;102;92.3;81.7;74.3;66.5;57.5;47.4
2JT8D;PNLTM;D;10000;123.3;116.3;111;105.4;96.3;86.3;79.6;72.1;63.7;54.2
2JT8D;PNLTM;D;12000;126.9;120;115;109.7;101.1;91.6;85.5;78.3;70.4;61.6
2JT8D;PNLTM;D;14000;131.5;124.7;120.1;114.1;106.3;97.2;91;84.7;77.4;69.2
2JT8D;SEL;A;3000;102.3;97.2;92.9;88.5;82.8;75.6;70.9;65.4;58.8;51.8
2JT8D;SEL;A;6000;106.1;100.5;96.7;93;87.2;80.9;76.1;70.7;64.1;56.9
2JT8D;SEL;D;8000;108.8;103.9;100.5;96.8;91.5;85.7;80.5;75.1;68.9;62
2JT8D;SEL;D;10000;111.4;107.2;104.3;101.1;95.7;89.5;85;79.8;73.5;66.7
2JT8D;SEL;D;12000;115.1;111.1;108.4;105.5;100.2;94.3;89.9;85;78.8;72.1
2JT8D;SEL;D;14000;119.8;115.9;113.3;110.5;105.4;99.7;95.3;90.3;84.5;78.4
2JT8D2;EPNL;A;4000;96;91.3;88.1;84.4;78.4;71.1;65.6;59.6;53.4;47.5
2JT8D2;EPNL;A;4667;97;92.3;89;85.3;79.3;72.2;66.7;60.7;54.6;48.7
2JT8D2;EPNL;A;5333;98;93.2;89.9;86.2;80.3;73.3;67.9;61.9;55.8;49.9
2JT8D2;EPNL;A;6000;99.1;94.2;90.8;87.1;81.2;74.3;69;63;57;51.1
2JT8D2;EPNL;D;9000;103.3;99.2;96;92.8;87.5;81.3;76.1;70.5;64.8;59.2
2JT8D2;EPNL;D;11000;105.6;101.4;98.3;95.1;89.7;83.6;78.5;72.9;67.2;61.7
2JT8D2;EPNL;D;13000;107.8;103.7;100.6;97.4;92;85.9;80.9;75.4;69.7;64.2
2JT8D2;EPNL;D;15000;110;106;103;99.7;94.3;88.2;83.4;77.8;72.2;66.7
2JT8D2;EPNL;D;17000;112.3;108.3;105.3;102;96.6;90.5;85.8;80.3;74.7;69.2
2JT8D2;EPNL;D;19000;114.5;110.6;107.6;104.3;98.8;92.8;88.3;82.7;77.1;71.7
2JT8D2;LAmax;A;4000;89.8;82.7;78;73.2;65.6;57.3;51.1;44.5;37.7;31.3
2JT8D2;LAmax;A;4667;90.8;83.6;79;74.2;66.6;58.2;52;45.4;38.6;32.2
2JT8D2;LAmax;A;5333;91.8;84.6;79.9;75.1;67.5;59.1;52.9;46.3;39.4;33
2JT8D2;LAmax;A;6000;92.9;85.6;80.9;76.1;68.4;60;53.8;47.1;40.3;33.9
