fa_flight_id,altitude,altitude_change,groundspeed,heading,latitude,longitude,timestamp,update_type
AIQ396-1669936380-schedule-0404,4,C,180,209,13.89917,100.59726,2022-12-03T23:15:00Z,A
AIQ396-1669936380-schedule-0404,10,C,186,209,13.88709,100.59048,2022-12-03T23:15:16Z,A
AIQ396-1669936380-schedule-0404,15,C,185,209,13.87489,100.58369,2022-12-03T23:15:32Z,A
AIQ396-1669936380-schedule-0404,19,C,190,224,13.86374,100.57576,2022-12-03T23:15:48Z,A
AIQ396-1669936380-schedule-0404,24,C,192,254,13.85758,100.5622,2022-12-03T23:16:04Z,A
AIQ396-1669936380-schedule-0404,31,C,201,259,13.85239,100.53807,2022-12-03T23:16:30Z,A
AIQ396-1669936380-schedule-0404,34,C,210,258,13.84891,100.5213,2022-12-03T23:16:48Z,A
AIQ396-1669936380-schedule-0404,37,C,229,258,13.84433,100.49985,2022-12-03T23:17:08Z,A
AIQ396-1669936380-schedule-0404,39,C,250,246,13.83914,100.48279,2022-12-03T23:17:25Z,A
AIQ396-1669936380-schedule-0404,42,C,267,226,13.82671,100.46718,2022-12-03T23:17:41Z,A
AIQ396-1669936380-schedule-0404,47,C,284,226,13.80908,100.44871,2022-12-03T23:18:00Z,A
AIQ396-1669936380-schedule-0404,56,C,289,218,13.78954,100.42929,2022-12-03T23:18:19Z,A
AIQ396-1669936380-schedule-0404,62,C,288,196,13.77109,100.42086,2022-12-03T23:18:36Z,A
AIQ396-1669936380-schedule-0404,74,C,280,175,13.73561,100.42212,2022-12-03T23:19:03Z,A
AIQ396-1669936380-schedule-0404,85,C,290,175,13.69478,100.42574,2022-12-03T23:19:33Z,A
AIQ396-1669936380-schedule-0404,96,C,294,175,13.65385,100.42948,2022-12-03T23:20:03Z,A
AIQ396-1669936380-schedule-0404,108,C,298,175,13.61169,100.43335,2022-12-03T23:20:33Z,A
AIQ396-1669936380-schedule-0404,120,C,304,182,13.56747,100.43412,2022-12-03T23:21:06Z,A
AIQ396-1669936380-schedule-0404,127,C,306,184,13.53544,100.43277,2022-12-03T23:21:28Z,A
AIQ396-1669936380-schedule-0404,136,C,304,179,13.50667,100.43171,2022-12-03T23:21:49Z,A
AIQ396-1669936380-schedule-0404,143,C,296,154,13.47999,100.44029,2022-12-03T23:22:09Z,A
AIQ396-1669936380-schedule-0404,153,C,294,152,13.44405,100.45956,2022-12-03T23:22:39Z,A
AIQ396-1669936380-schedule-0404,156,C,318,145,13.40813,100.48299,2022-12-03T23:23:09Z,A
AIQ396-1669936380-schedule-0404,159,C,341,146,13.36913,100.51036,2022-12-03T23:23:39Z,A
AIQ396-1669936380-schedule-0404,162,C,364,146,13.32935,100.53796,2022-12-03T23:24:09Z,A
AIQ396-1669936380-schedule-0404,167,C,376,146,13.28606,100.56817,2022-12-03T23:24:39Z,A
