fa_flight_id,altitude,altitude_change,groundspeed,heading,latitude,longitude,timestamp,update_type
AIQ311-1669938420-schedule-0399,5,C,168,209,13.90018,100.59764,2022-12-03T23:50:47Z,A
AIQ311-1669938420-schedule-0399,10,C,174,209,13.88869,100.59125,2022-12-03T23:51:03Z,A
AIQ311-1669938420-schedule-0399,16,C,174,208,13.87784,100.58528,2022-12-03T23:51:19Z,A
AIQ311-1669938420-schedule-0399,21,C,180,235,13.86768,100.57595,2022-12-03T23:51:35Z,A
AIQ311-1669938420-schedule-0399,27,C,184,252,13.86259,100.56269,2022-12-03T23:51:51Z,A
AIQ311-1669938420-schedule-0399,33,C,191,256,13.85802,100.54588,2022-12-03T23:52:11Z,A
AIQ311-1669938420-schedule-0399,38,C,231,254,13.84999,100.51686,2022-12-03T23:52:41Z,A
AIQ311-1669938420-schedule-0399,47,C,261,248,13.84124,100.48765,2022-12-03T23:53:06Z,A
AIQ311-1669938420-schedule-0399,63,C,258,227,13.81828,100.45913,2022-12-03T23:53:36Z,A
AIQ311-1669938420-schedule-0399,74,C,262,227,13.80125,100.44058,2022-12-03T23:53:57Z,A
AIQ311-1669938420-schedule-0399,84,C,262,212,13.78263,100.42419,2022-12-03T23:54:17Z,A
AIQ311-1669938420-schedule-0399,93,C,259,177,13.75905,100.42011,2022-12-03T23:54:38Z,A
AIQ311-1669938420-schedule-0399,106,C,258,169,13.72956,100.42366,2022-12-03T23:55:01Z,A
AIQ311-1669938420-schedule-0399,112,C,258,153,13.71345,100.43065,2022-12-03T23:55:17Z,A
AIQ311-1669938420-schedule-0399,124,C,266,152,13.68187,100.448,2022-12-03T23:55:47Z,A
AIQ311-1669938420-schedule-0399,129,C,305,152,13.64549,100.46785,2022-12-03T23:56:17Z,A
AIQ311-1669938420-schedule-0399,135,C,335,152,13.60684,100.48891,2022-12-03T23:56:47Z,A
AIQ311-1669938420-schedule-0399,150,C,336,152,13.56459,100.51193,2022-12-03T23:57:17Z,A
AIQ311-1669938420-schedule-0399,159,C,351,152,13.52243,100.53489,2022-12-03T23:57:47Z,A
AIQ311-1669938420-schedule-0399,172,C,348,152,13.47839,100.55886,2022-12-03T23:58:17Z,A
AIQ311-1669938420-schedule-0399,182,C,354,152,13.43564,100.58225,2022-12-03T23:58:47Z,A
