fa_flight_id,altitude,altitude_change,groundspeed,heading,latitude,longitude,timestamp,update_type
AIQ3029-1669937520-schedule-0599,3,C,178,209,13.90245,100.59896,2022-12-03T23:33:14Z,X
AIQ3029-1669937520-schedule-0599,27,C,195,250,13.85701,100.5616,2022-12-03T23:34:23Z,A
AIQ3029-1669937520-schedule-0599,34,C,213,253,13.8485,100.53598,2022-12-03T23:34:51Z,A
AIQ3029-1669937520-schedule-0599,40,C,261,251,13.83728,100.50184,2022-12-03T23:35:21Z,A
AIQ3029-1669937520-schedule-0599,49,C,293,252,13.82485,100.46433,2022-12-03T23:35:51Z,A
AIQ3029-1669937520-schedule-0599,56,C,298,249,13.81828,100.44473,2022-12-03T23:36:07Z,A
AIQ3029-1669937520-schedule-0599,59,C,318,224,13.80516,100.42434,2022-12-03T23:36:24Z,A
AIQ3029-1669937520-schedule-0599,63,C,336,208,13.78184,100.40906,2022-12-03T23:36:42Z,A
AIQ3029-1669937520-schedule-0599,78,C,340,208,13.74028,100.38705,2022-12-03T23:37:11Z,A
AIQ3029-1669937520-schedule-0599,90,C,351,209,13.69803,100.36418,2022-12-03T23:37:41Z,A
AIQ3029-1669937520-schedule-0599,112,C,359,208,13.63022,100.32705,2022-12-03T23:38:26Z,A
AIQ3029-1669937520-schedule-0599,125,C,361,208,13.58767,100.30387,2022-12-03T23:38:56Z,A
AIQ3029-1669937520-schedule-0599,136,C,365,208,13.54363,100.27983,2022-12-03T23:39:26Z,A
AIQ3029-1669937520-schedule-0599,145,C,379,208,13.49675,100.25427,2022-12-03T23:39:56Z,A
AIQ3029-1669937520-schedule-0599,157,C,381,208,13.44974,100.2287,2022-12-03T23:40:26Z,A
AIQ3029-1669937520-schedule-0599,164,C,381,195,13.41528,100.21406,2022-12-03T23:40:48Z,A
AIQ3029-1669937520-schedule-0599,176,C,381,191,13.35814,100.20204,2022-12-03T23:41:20Z,A
AIQ3029-1669937520-schedule-0599,184,C,391,191,13.30499,100.19119,2022-12-03T23:41:50Z,A
AIQ3029-1669937520-schedule-0599,193,C,392,191,13.2523,100.18057,2022-12-03T23:42:20Z,A
AIQ3029-1669937520-schedule-0599,200,C,401,192,13.19919,100.16997,2022-12-03T23:42:50Z,A
AIQ3029-1669937520-schedule-0599,208,C,407,191,13.14185,100.15842,2022-12-03T23:43:21Z,A
AIQ3029-1669937520-schedule-0599,210,C,417,191,13.10641,100.15137,2022-12-03T23:43:40Z,A
