fa_flight_id,altitude,altitude_change,groundspeed,heading,latitude,longitude,timestamp,update_type
AIQ3437-1669938420-schedule-0400,3,C,173,209,13.90237,100.59897,2022-12-03T23:52:36Z,A
AIQ3437-1669938420-schedule-0400,8,C,180,209,13.89012,100.59198,2022-12-03T23:52:52Z,A
AIQ3437-1669938420-schedule-0400,15,C,182,209,13.87797,100.58518,2022-12-03T23:53:09Z,A
AIQ3437-1669938420-schedule-0400,20,C,186,222,13.86607,100.5768,2022-12-03T23:53:25Z,A
AIQ3437-1669938420-schedule-0400,26,C,189,262,13.86102,100.56413,2022-12-03T23:53:41Z,A
AIQ3437-1669938420-schedule-0400,32,C,194,296,13.86712,100.54557,2022-12-03T23:54:02Z,A
AIQ3437-1669938420-schedule-0400,36,C,213,299,13.87508,100.52991,2022-12-03T23:54:21Z,A
AIQ3437-1669938420-schedule-0400,40,C,251,297,13.88667,100.50677,2022-12-03T23:54:43Z,A
AIQ3437-1669938420-schedule-0400,44,C,280,301,13.89693,100.48617,2022-12-03T23:55:02Z,A
AIQ3437-1669938420-schedule-0400,52,C,289,333,13.91581,100.46886,2022-12-03T23:55:20Z,A
AIQ3437-1669938420-schedule-0400,59,C,299,343,13.94281,100.45879,2022-12-03T23:55:42Z,A
AIQ3437-1669938420-schedule-0400,64,C,320,341,13.96381,100.4516,2022-12-03T23:55:58Z,A
AIQ3437-1669938420-schedule-0400,76,C,334,342,14.00706,100.43644,2022-12-03T23:56:27Z,A
AIQ3437-1669938420-schedule-0400,86,C,337,342,14.03629,100.42607,2022-12-03T23:56:47Z,A
AIQ3437-1669938420-schedule-0400,94,C,340,341,14.0609,100.41731,2022-12-03T23:57:03Z,A
AIQ3437-1669938420-schedule-0400,104,C,349,341,14.09729,100.40438,2022-12-03T23:57:27Z,A
AIQ3437-1669938420-schedule-0400,112,C,357,342,14.12883,100.39316,2022-12-03T23:57:47Z,A
AIQ3437-1669938420-schedule-0400,117,C,359,341,14.16217,100.38126,2022-12-03T23:58:09Z,A
AIQ3437-1669938420-schedule-0400,122,C,359,342,14.19228,100.37053,2022-12-03T23:58:28Z,A
AIQ3437-1669938420-schedule-0400,127,C,359,342,14.23988,100.35367,2022-12-03T23:58:58Z,A
AIQ3437-1669938420-schedule-0400,130,C,363,341,14.27444,100.34135,2022-12-03T23:59:20Z,A
AIQ3437-1669938420-schedule-0400,130,C,362,342,14.33595,100.31939,2022-12-03T23:59:58Z,A
AIQ3437-1669938420-schedule-0400,133,C,363,342,14.36756,100.30807,2022-12-04T00:00:18Z,A
AIQ3437-1669938420-schedule-0400,143,C,372,342,14.41639,100.29077,2022-12-04T00:00:48Z,A
AIQ3437-1669938420-schedule-0400,153,C,381,343,14.46112,100.27515,2022-12-04T00:01:15Z,A
AIQ3437-1669938420-schedule-0400,160,C,378,351,14.48927,100.26885,2022-12-04T00:01:31Z,A
AIQ3437-1669938420-schedule-0400,167,C,393,352,14.5421,100.26109,2022-12-04T00:02:01Z,A
AIQ3437-1669938420-schedule-0400,178,C,397,352,14.59818,100.25299,2022-12-04T00:02:31Z,A
AIQ3437-1669938420-schedule-0400,187,C,402,352,14.65055,100.24538,2022-12-04T00:03:01Z,A
AIQ3437-1669938420-schedule-0400,193,C,406,345,14.68723,100.23733,2022-12-04T00:03:21Z,A
AIQ3437-1669938420-schedule-0400,198,C,410,344,14.72033,100.22678,2022-12-04T00:03:39Z,A
AIQ3437-1669938420-schedule-0400,204,C,413,344,14.75697,100.21487,2022-12-04T00:03:59Z,A
AIQ3437-1669938420-schedule-0400,213,C,416,344,14.81241,100.19683,2022-12-04T00:04:29Z,A
AIQ3437-1669938420-schedule-0400,217,C,421,344,14.85004,100.18462,2022-12-04T00:04:49Z,A
AIQ3437-1669938420-schedule-0400,231,C,417,343,14.92374,100.16067,2022-12-04T00:05:29Z,A
AIQ3437-1669938420-schedule-0400,235,C,424,343,14.96352,100.14779,2022-12-04T00:05:51Z,A
AIQ3437-1669938420-schedule-0400,242,C,425,343,15.0103,100.13257,2022-12-04T00:06:15Z,A
AIQ3437-1669938420-schedule-0400,248,C,426,344,15.05653,100.11754,2022-12-04T00:06:40Z,A
AIQ3437-1669938420-schedule-0400,252,C,429,344,15.09453,100.10516,2022-12-04T00:07:00Z,A
AIQ3437-1669938420-schedule-0400,263,C,426,343,15.17068,100.08035,2022-12-04T00:07:40Z,A
AIQ3437-1669938420-schedule-0400,265,C,433,344,15.2089,100.06789,2022-12-04T00:08:00Z,A
AIQ3437-1669938420-schedule-0400,268,C,437,344,15.24211,100.05712,2022-12-04T00:08:17Z,A
